StateDesc,CountyName,CensusTract,COPD_%,Current_Asthma_%,Current_Smoking_%,COPD_TotalPopulation,Current Asthma_TotalPopulation,Current Smoking_TotalPopulation
Alaska,Aleutians East,2013000100,5.1,8.3,21.8,3141,3141,3141
Alaska,Aleutians West,2016000100,6.7,9.8,24.5,1185,1185,1185
Alaska,Aleutians West,2016000200,4,7.6,17.3,4376,4376,4376
Alaska,Anchorage,2020000101,4.8,9.3,14.3,5736,5736,5736
Alaska,Anchorage,2020000102,5.2,9.5,15,5259,5259,5259
Alaska,Anchorage,2020000201,4.3,9.8,15.3,4110,4110,4110
Alaska,Anchorage,2020000202,4.7,9.4,13.5,5947,5947,5947
Alaska,Anchorage,2020000203,4,9.2,12.8,10549,10549,10549
Alaska,Anchorage,2020000204,4.2,9.6,12.7,3381,3381,3381
Alaska,Anchorage,2020000300,2.2,9.5,13,8000,8000,8000
Alaska,Anchorage,2020000400,2.2,9.7,12.9,5937,5937,5937
Alaska,Anchorage,2020000500,5.5,9.8,17,1988,1988,1988
Alaska,Anchorage,2020000600,8.2,11.5,27.5,7747,7747,7747
Alaska,Anchorage,2020000701,5.4,10.6,18.8,5949,5949,5949
Alaska,Anchorage,2020000702,5.6,10.6,18.8,5107,5107,5107
Alaska,Anchorage,2020000703,7.2,10.9,21.2,5706,5706,5706
Alaska,Anchorage,2020000801,6.1,10.7,21,7323,7323,7323
Alaska,Anchorage,2020000802,5.9,10.8,20.6,4407,4407,4407
Alaska,Anchorage,2020000901,7.8,11.3,27.6,4906,4906,4906
Alaska,Anchorage,2020000902,7.2,10.6,18.6,3141,3141,3141
Alaska,Anchorage,2020001000,5.5,10.2,19,4131,4131,4131
Alaska,Anchorage,2020001100,6.4,9.4,19.4,940,940,940
Alaska,Anchorage,2020001200,4.6,8.6,9.7,3718,3718,3718
Alaska,Anchorage,2020001300,4.5,8.5,9.3,3059,3059,3059
Alaska,Anchorage,2020001400,4.6,9.6,15.3,5224,5224,5224
Alaska,Anchorage,2020001500,6.2,9.7,13.8,5104,5104,5104
Alaska,Anchorage,2020001601,4.6,9.4,13.6,4092,4092,4092
Alaska,Anchorage,2020001602,4.7,9.8,13.8,4224,4224,4224
Alaska,Anchorage,2020001701,4.4,9.4,12.9,6843,6843,6843
Alaska,Anchorage,2020001702,4.8,9.5,13.5,5258,5258,5258
Alaska,Anchorage,2020001731,6.3,10.2,17.5,5823,5823,5823
Alaska,Anchorage,2020001732,5.2,10,16,6179,6179,6179
Alaska,Anchorage,2020001801,4.7,10.1,16.1,4907,4907,4907
Alaska,Anchorage,2020001802,4.9,10,15.5,5537,5537,5537
