location,latitude,longitude,type
Abilene TX MSA,32.44942153,-99.71711411,2
Aguadilla-Isabela PR MSA,18.35942994,-67.00093361,2
Akron OH MSA,41.14867426,-81.34964519,2
Albany GA MSA,31.64647327,-84.11491581,2
Albany-Lebanon OR MSA,44.4888545,-122.5344687,2
Albany-Schenectady-Troy NY MSA,42.78788744,-73.9426426,2
Albuquerque NM MSA,35.12025602,-106.4668198,2
Alexandria LA MSA,31.33018407,-92.54182907,2
Allentown-Bethlehem-Easton PA-NJ MSA,40.78935392,-75.4040026,2
Altoona PA MSA,40.48089446,-78.34852592,2
Amarillo TX MSA,35.24935021,-101.9084649,2
Ames IA MSA,42.03648369,-93.69833648,2
Anchorage AK MSA,62.21845675,-149.5670415,2
Anderson IN MSA,40.09063,-85.68718,2
Anderson SC MSA,34.68483721,-82.41334384,2
Ann Arbor MI MSA,42.25316777,-83.83878547,2
Anniston-Oxford AL MSA,33.77139215,-85.82613192,2
Appleton WI MSA,44.28850636,-88.37053856,2
Arecibo PR MSA,18.43993059,-66.75916819,2
Asheville NC MSA,35.60040081,-82.68245808,2
Athens-Clark County GA MSA,33.94891975,-83.21380566,2
Atlanta-Sandy Springs-Marietta GA MSA,33.69194632,-84.39957064,2
Atlantic City NJ MSA,39.46880112,-74.63359866,2
Auburn-Opelika AL MSA,32.6011929,-85.35550827,2
Augusta-Richmond County GA-SC MSA,33.46064551,-81.98294463,2
Austin-Round Rock TX MSA,30.26178775,-97.65429705,2
Bakersfield CA MSA,35.34346674,-118.729058,2
Baltimore-Towson MD MSA,39.30500743,-76.55022025,2
Bangor ME MSA,45.39681009,-68.65076219,2
Barnstable Town MA MSA,41.77320519,-70.23840926,2
Baton Rouge LA MSA,30.51690219,-91.12665075,2
Battle Creek MI MSA,42.24647772,-85.00557718,2
Bay City MI MSA,43.7211706,-83.94166612,2
Beaumont-Port Arthur TX MSA,30.07611524,-94.20086531,2
Beckley WV MSA,37.90599032,-81.16103312,2
Bellingham WA MSA,48.83091055,-121.8723816,2
Bend OR MSA,43.91492059,-121.2269354,2
Billings MT MSA,45.63858516,-108.8257851,2
Binghamton NY MSA,42.16461467,-76.02500611,2
Birmingham-Hoover AL MSA,33.4023502,-86.72941125,2
Bismarck ND MSA,46.88392128,-100.9789361,2
Blacksburg-Christiansburg-Radford VA MSA,37.18684094,-80.59239778,2
Bloomington IN MSA,39.23463734,-86.67564012,2
Bloomington-Normal IL MSA,40.49083047,-88.84740231,2
Bloomsburg-Berwick PA MSA,41.04402592,-76.45895923,2
Boise City-Nampa ID MSA,43.00902855,-116.1429537,2
Boston-Cambridge-Quincy MA-NH MSA,42.5150029,-71.0209635,2
Boulder CO MSA,40.09243864,-105.3577118,2
Bowling Green KY MSA,37.03839258,-86.40655703,2
Bremerton-Silverdale WA MSA,47.6393246,-122.64939,2
Bridgeport-Stamford-Norwalk CT MSA,41.2246832,-73.37124638,2
Brownsville-Harlingen TX MSA,26.15142474,-97.45294867,2
Brunswick GA MSA,31.30564268,-81.58765717,2
Buffalo-Niagara Falls NY MSA,43.03613511,-78.77558317,2
Burlington NC MSA,36.04356747,-79.39942563,2
