,Ticker,Company Name,Country,Sector,Overall ESG RATING,Overall ESG SCORE,Environmental SCORE,Social SCORE,Governance SCORE
0,AAL,ANGLO AMERICAN CAPITAL PLC,GB,Metals and Mining - Non-Precious Metals,A,7.1,4.0,5.5,6.3
253,AAON,"AAON, INC",US,Building Products,A,7.1,5.0,7.0,5.6
316,ABBV,ABBVIE INC,US,Biotechnology,BBB,4.8,7.7,4.8,3.8
569,ABC,ABCAM PLC,GB,Health Care Equipment & Supplies,A,6.3,7.8,5.6,5.9
570,ABC,ADBRI LIMITED,AU,Construction Materials,BBB,5.7,1.7,5.2,6.0
1075,ABMD,"ABIOMED, INC",US,Health Care Equipment & Supplies,AA,7.4,6.5,7.6,4.9
1328,ABT,ABBOTT LABORATORIES,US,Health Care Equipment & Supplies,BB,4.2,10.0,5.2,5.4
1329,ABT,CFR PHARMACEUTICALS SA,CL,Health Care Equipment & Supplies,BB,4.2,10.0,5.2,5.4
1834,ACAD,ACADIA PHARMACEUTICALS INC,US,Biotechnology,BBB,4.5,3.1,4.4,5.2
1835,ACAD,AcadeMedia AB,SE,Diversified Consumer Services,AAA,10.0,7.2,6.0,7.0
2340,ACC,ACC LIMITED,IN,Construction Materials,B,1.6,2.0,2.6,2.6
2341,ACC,Aker Carbon Capture ASA,NO,Commercial Services & Supplies,BBB,5.5,6.3,3.9,6.7
2846,ACGL,ARCH CAPITAL GROUP LTD,BM,Property & Casualty Insurance,BBB,4.5,2.4,4.7,6.1
2847,ACGL,Somers Group Holdings Ltd,BM,Multi-Line Insurance & Brokerage,BBB,4.5,2.4,4.7,6.1
3352,ACHC,"ACADIA HEALTHCARE COMPANY, INC",US,Health Care Providers & Services,A,7.0,6.5,5.2,6.3
3353,ACI,"ALBERTSONS COMPANIES, INC",US,Retail - Food & Staples,B,2.7,1.9,2.9,6.2
3418,ACM,AECOM,US,Construction & Engineering,AA,7.5,7.4,4.6,5.4
3671,ACN,ACCENTURE PUBLIC LIMITED COMPANY,IE,Software & Services,AA,7.6,7.5,4.1,5.3
3924,ADC,AGREE REALTY CORPORATION,US,Real Estate Management & Services,BB,2.9,3.9,3.5,5.2
4115,ADI,"MAXIM INTEGRATED PRODUCTS, INC",US,Semiconductors & Semiconductor Equipment,A,7.0,5.1,6.4,5.5
4368,ADM,ADMIRAL GROUP PLC,GB,Property & Casualty Insurance,A,7.0,4.1,3.8,7.7
4621,ADP,AEROPORTS DE PARIS SA,FR,Transportation Infrastructure,A,7.0,9.7,9.5,2.6
4874,AEP,AEP TEXAS INC,US,Utilities,AA,7.5,7.2,6.6,6.1
4875,AEP,INDIANA MICHIGAN POWER COMPANY,US,Utilities,A,5.8,5.4,6.6,5.8
4876,AEP,KENTUCKY POWER COMPANY,US,Utilities,A,7.1,7.0,7.1,6.2
4877,AEP,OHIO POWER COMPANY,US,Utilities,AA,7.4,7.0,6.6,6.2
4878,AEP,SOUTHWESTERN ELECTRIC POWER COMPANY,US,Utilities,BBB,4.6,4.3,6.6,6.1
6139,AES,IPALCO ENTERPRISES INC,US,Utilities,A,6.0,6.0,4.9,6.3
6140,AES,THE AES CORPORATION,US,Utilities,AA,8.2,6.9,7.9,6.9
6645,AFG,AUSTRALIAN FINANCE GROUP LTD,AU,Banks,AA,7.3,3.5,4.4,7.7
6898,AGN,AEGON NV,NL,Life & Health Insurance,AA,8.4,8.4,4.8,7.7
6987,AGO,ASSURED GUARANTY LTD,BM,Property & Casualty Insurance,BB,3.3,3.6,3.5,5.8
